19,No.,8,0.1285,3.264,0.642,16.30,"43,240","19,610",713.50,1062.0,0.16490,0.5409,0.2464,158.90
19,No.,9,0.1144,2.906,0.572,14.50,"34,290","15,550",565.80,842.0,0.20790,0.6821,0.1954,126.10
19,No.,10,0.1019,2.588,0.509,12.90,"27,190","12,330",448.70,667.7,0.26220,0.8601,0.1594,99.96,
7,No.,5,0.1819,4.620,0.546,13.90,"27,030","12,260",524.90,781.1,0.22640,0.7426,0.1820,117.40
7,No.,6,0.1620,4.115,0.486,12.30,"22,730","10,310",416.30,619.5,0.28030,0.9198,0.1443,93.10
7,No.,7,0.1443,3.665,0.433,11.00,"19,060","8,645",330.00,491.1,0.35350,1.1600,0.1145,73.87
7,No.,8,0.1285,3.264,0.385,9.78,"15,930","7,226",261.80,389.6,0.44580,1.4630,0.09077,58.56
7,No.,9,0.1144,2.906,0.343,8.71,"12,630","5,729",207.60,308.9,0.56210,1.8440,0.07198,46.44
7,No.,10,0.1019,2.588,0.306,7.77,"10,020","4,545",164.70,245.1,0.70880,2.3250,0.05708,36.83,
7,No.,11,0.0907,2.304,0.272,6.91,"7,945","3,604",130.60,194.4,0.89380,2.9320,0.04523,29.21,
7,No.,12,0.0808,2.052,0.242,6.15,"6,301","2,858",103.60,154.2,1.12700,3.6970,0.03590,23.16,
3,No.,5,0.1819,4.620,0.392,9.96,"12,230","5,547",224.50,334.1,0.51770,1.6990,0.07800,50.32
3,No.,6,0.1620,4.115,0.349,8.86,"10,280","4,663",178.10,265.0,0.65280,2.1420,0.06185,39.90
3,No.,7,0.1443,3.665,0.311,7.90,"8,621","3,910",141.20,210.1,0.82320,2.7010,0.04905,31.65
3,No.,8,0.1285,3.264,0.277,7.04,"7,206","3,269",112.00,166.7,1.03800,3.4060,0.03890,25.10
3,No.,9,0.1144,2.906,0.247,6.27,"5,715","2,592",88.81,132.2,1.30900,4.2940,0.03085,19.90
3,No.,10,0.1019,2.588,0.220,5.59,"4,532","2,056",70.43,104.8,1.65100,5.4150,0.02446,15.7,
